(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09PLLCVD6,B09PLMRKDG,"White Birch Trees in Autumn Poster Wall Art Decor Framed Print | Nature & Lanscape Photogrpahy Home & Office Posters, Pictures & Prints by Dixie Grilley | Artwork for Bedroom & Living Room Walls",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09PLLCVD6,B09PLQXJK9,"Clarks Nutcracker in Wyoming Poster Wall Art Decor Framed Print | Birds & Avian Photogrpahy Home & Office Posters, Pictures & Prints by Dixie Grilley | Cool Artwork for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1NWTBR,"Constellation Tri-Tail Airplane Poster Wall Art Decor Framed Print | Iconic & Classic Planes Home & Office Posters, Pictures & Prints by Larry Grossman | Cool Artwork for Bedroom & Living Room Walls",4,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1Q3KJZ,"A Teepee Motel Poster Wall Art Decor Framed Print | Landmarks & General Photography Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1QDR1J,"Crankshaft Motors Poster Wall Art Decor Framed Print | Hot Rods & Classic Cars Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1QFFBQ,"Deuces Wild Framed Canvas Wall Art Decor Poster | Hot Rods & Classic Cars Home & Office Decoration Canvases, Posters & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",2,0,0.01%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1QJ8SL,"Hot Rod Kid Poster Wall Art Decor Unframed Print | Hot Rods & Classic Cars Home & Office Decoration Posters, Pictures & Prints by Larry Grossman | Picture & Artwork for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1QLVKX,"Chrome Hood Poster Wall Art Decor Framed Print | Landmarks & General Photography Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1R3JYQ,"Hot Rod Shop Poster Wall Art Decor Framed Print | Hot Rods & Classic Cars Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1R4GGL,"Color TV Kid Poster Wall Art Decor Unframed Print | Landmarks & General Photography Home & Office Decoration Posters, Pictures & Prints by Larry Grossman | Picture & Artwork for Bedroom & Living Room",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1R5FLH,"Rod Shop Poster Wall Art Decor Unframed Print | Hot Rods & Classic Cars Home & Office Decoration Posters, Pictures & Prints by Larry Grossman | Picture & Artwork Gifts for Bedroom & Living Room Walls",3,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1RCFH2,"Crankshaft Motors Poster Wall Art Decor Unframed Print | Hot Rods & Classic Cars Home & Office Decoration Posters, Pictures & Prints by Larry Grossman | Picture & Artwork for Bedroom & Living Room",4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1RJR34,"Flamingo Motel Sign Poster Wall Art Decor Framed Print |Landmarks & General Photography Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork for Bedroom & Living Room Walls",4,0,0.02%,0.00%,7,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09DMX1V26,B09Q1RK2GB,Lost Cabin Ship in a Storm by Ivan Aivazovsky | Matted Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 14x20 Frame: 20.5x26.5,2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09Q1SN7CL,B09Q1RR82X,"Constellation Tri-Tail Airplane Poster Wall Art Decor Unframed Print | Iconic & Classic Planes Home & Office Posters, Pictures & Prints by Larry Grossman | Artwork for Bedroom & Living Room Walls",3,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09DMX1V26,B09Q1RZWNW,Lost Cabin Ship in a Storm by Ivan Aivazovsky | Matted Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster | Image: 19x27 Frame: 28x36,3,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
